 "nmvw_actor1" , "nmvw_actor2" , "nmvw_object" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/285944" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/285945" ,
 "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/285946" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/285946" ,
 "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/285947" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/285947" ,
 "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/285948" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/285948" ,
 "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/285949" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/285949" ,
 "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/285950" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/285950" ,
 "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/285952" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/285952" ,
 "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/285953" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/285953" ,
 "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/285955" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/285955" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/285960" ,
 "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/285961" ,
 "https://hdl.handle.net/20.500.11840/pi3046" , "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/23646" ,
 "https://hdl.handle.net/20.500.11840/pi3046" , "https://hdl.handle.net/20.500.11840/pi44097" , "https://hdl.handle.net/20.500.11840/23646" ,
 "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/pi44097" , "https://hdl.handle.net/20.500.11840/23646" ,
