 "n" , "nmvw_actor" ,
 "19" , "https://hdl.handle.net/20.500.11840/pi1486" ,
 "5" , "https://hdl.handle.net/20.500.11840/pi1487" ,
 "20" , "https://hdl.handle.net/20.500.11840/pi149" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1491" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1494" ,
 "25" , "https://hdl.handle.net/20.500.11840/pi1499" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi150" ,
 "36" , "https://hdl.handle.net/20.500.11840/pi1500" ,
 "189" , "https://hdl.handle.net/20.500.11840/pi1506" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1507" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1508" ,
 "5" , "https://hdl.handle.net/20.500.11840/pi1509" ,
 "3" , "https://hdl.handle.net/20.500.11840/pi1510" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1512" ,
 "143" , "https://hdl.handle.net/20.500.11840/pi1514" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1515" ,
 "16" , "https://hdl.handle.net/20.500.11840/pi1516" ,
 "1865" , "https://hdl.handle.net/20.500.11840/pi1517" ,
 "8" , "https://hdl.handle.net/20.500.11840/pi1520" ,
 "47" , "https://hdl.handle.net/20.500.11840/pi1521" ,
 "47" , "https://hdl.handle.net/20.500.11840/pi1522" ,
 "47" , "https://hdl.handle.net/20.500.11840/pi1523" ,
 "127" , "https://hdl.handle.net/20.500.11840/pi1525" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1526" ,
 "55" , "https://hdl.handle.net/20.500.11840/pi1527" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1528" ,
 "56" , "https://hdl.handle.net/20.500.11840/pi1529" ,
 "8" , "https://hdl.handle.net/20.500.11840/pi1530" ,
 "5" , "https://hdl.handle.net/20.500.11840/pi1533" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1535" ,
 "376" , "https://hdl.handle.net/20.500.11840/pi1536" ,
 "4" , "https://hdl.handle.net/20.500.11840/pi1537" ,
 "8" , "https://hdl.handle.net/20.500.11840/pi1538" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1539" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi154" ,
 "13" , "https://hdl.handle.net/20.500.11840/pi1540" ,
